gpu_uuid,gpu_name,precision,matrix_size,repetitions,average_time_seconds,achieved_tflops,peak_memory_gb,status,theoretical_peak_tflops,percent_of_theoretical_peak
GPU-20606811-3bb2-e6b5-ec74-b477d9c1d1d8,NVIDIA GeForce RTX 3060 Laptop GPU,FP32,1024,20,0.00035522,6.045503198,0.01965332,success,13.08,46.22
GPU-20606811-3bb2-e6b5-ec74-b477d9c1d1d8,NVIDIA GeForce RTX 3060 Laptop GPU,FP32,4096,10,0.02637092,5.211761799,0.19543457,success,13.08,39.85
GPU-20606811-3bb2-e6b5-ec74-b477d9c1d1d8,NVIDIA GeForce RTX 3060 Laptop GPU,FP32,8192,3,0.159923533,6.875233462,0.75793457,success,13.08,52.56
GPU-20606811-3bb2-e6b5-ec74-b477d9c1d1d8,NVIDIA GeForce RTX 3060 Laptop GPU,FP32,16384,1,1.2716369,6.91714201,3.00793457,success,13.08,52.88
GPU-20606811-3bb2-e6b5-ec74-b477d9c1d1d8,NVIDIA GeForce RTX 3060 Laptop GPU,TF32,1024,20,0.000296165,7.25097039,0.01965332,success,26.16,27.72
GPU-20606811-3bb2-e6b5-ec74-b477d9c1d1d8,NVIDIA GeForce RTX 3060 Laptop GPU,TF32,4096,10,0.01169584,11.75109727,0.19543457,success,26.16,44.92
GPU-20606811-3bb2-e6b5-ec74-b477d9c1d1d8,NVIDIA GeForce RTX 3060 Laptop GPU,TF32,8192,3,0.093997267,11.69727234,0.75793457,success,26.16,44.71
GPU-20606811-3bb2-e6b5-ec74-b477d9c1d1d8,NVIDIA GeForce RTX 3060 Laptop GPU,TF32,16384,1,0.7863652,11.18576079,3.00793457,success,26.16,42.76
GPU-20606811-3bb2-e6b5-ec74-b477d9c1d1d8,NVIDIA GeForce RTX 3060 Laptop GPU,FP16,1024,20,0.00014837,14.47384,0.013793945,success,52.32,27.66
GPU-20606811-3bb2-e6b5-ec74-b477d9c1d1d8,NVIDIA GeForce RTX 3060 Laptop GPU,FP16,4096,10,0.00573184,23.97815596,0.10168457,success,52.32,45.83
GPU-20606811-3bb2-e6b5-ec74-b477d9c1d1d8,NVIDIA GeForce RTX 3060 Laptop GPU,FP16,8192,3,0.047111767,23.33836546,0.38293457,success,52.32,44.61
GPU-20606811-3bb2-e6b5-ec74-b477d9c1d1d8,NVIDIA GeForce RTX 3060 Laptop GPU,FP16,16384,1,0.4121539,21.34176826,1.50793457,success,52.32,40.79
GPU-20606811-3bb2-e6b5-ec74-b477d9c1d1d8,NVIDIA GeForce RTX 3060 Laptop GPU,BF16,1024,20,0.00015381,13.96192479,0.013793945,success,52.32,26.69
GPU-20606811-3bb2-e6b5-ec74-b477d9c1d1d8,NVIDIA GeForce RTX 3060 Laptop GPU,BF16,4096,10,0.00566786,24.24882645,0.10168457,success,52.32,46.35
GPU-20606811-3bb2-e6b5-ec74-b477d9c1d1d8,NVIDIA GeForce RTX 3060 Laptop GPU,BF16,8192,3,0.046084833,23.85842691,0.38293457,success,52.32,45.6
GPU-20606811-3bb2-e6b5-ec74-b477d9c1d1d8,NVIDIA GeForce RTX 3060 Laptop GPU,BF16,16384,1,0.3849021,22.852806,1.50793457,success,52.32,43.68
