gpu_name,gpu_uuid,method,sequence_length,batch_size,number_of_heads,head_dim,dtype,warmup_repetitions,timed_repetitions,status,average_latency_seconds,peak_memory_gb,error
NVIDIA GeForce RTX 3060 Laptop GPU,20606811-3bb2-e6b5-ec74-b477d9c1d1d8,forced_fused_fp16,512,1,1,64,torch.float16,2,20,success,8.745440244674683e-05,0.000244140625,
NVIDIA GeForce RTX 3060 Laptop GPU,20606811-3bb2-e6b5-ec74-b477d9c1d1d8,forced_fused_fp16,1024,1,1,64,torch.float16,2,10,success,0.00011511039733886719,0.00048828125,
NVIDIA GeForce RTX 3060 Laptop GPU,20606811-3bb2-e6b5-ec74-b477d9c1d1d8,forced_fused_fp16,2048,1,1,64,torch.float16,2,5,success,0.000187391996383667,0.0009765625,
NVIDIA GeForce RTX 3060 Laptop GPU,20606811-3bb2-e6b5-ec74-b477d9c1d1d8,forced_fused_fp16,4096,1,1,64,torch.float16,2,3,success,0.00046455466747283937,0.001953125,
NVIDIA GeForce RTX 3060 Laptop GPU,20606811-3bb2-e6b5-ec74-b477d9c1d1d8,forced_fused_fp16,8192,1,1,64,torch.float16,2,1,success,0.0014722880125045777,0.00390625,
NVIDIA GeForce RTX 3060 Laptop GPU,20606811-3bb2-e6b5-ec74-b477d9c1d1d8,forced_fused_fp16,16384,1,1,64,torch.float16,2,1,success,0.004704256057739258,0.0078125,
NVIDIA GeForce RTX 3060 Laptop GPU,20606811-3bb2-e6b5-ec74-b477d9c1d1d8,forced_fused_fp16,32768,1,1,64,torch.float16,2,1,success,0.017745920181274414,0.015625,
NVIDIA GeForce RTX 3060 Laptop GPU,20606811-3bb2-e6b5-ec74-b477d9c1d1d8,forced_fused_fp16,49152,1,1,64,torch.float16,2,1,success,0.03791257476806641,0.0234375,
NVIDIA GeForce RTX 3060 Laptop GPU,20606811-3bb2-e6b5-ec74-b477d9c1d1d8,forced_fused_fp16,65536,1,1,64,torch.float16,2,1,success,0.06449561309814453,0.03125,
NVIDIA GeForce RTX 3060 Laptop GPU,20606811-3bb2-e6b5-ec74-b477d9c1d1d8,forced_fused_fp16,73728,1,1,64,torch.float16,2,1,success,0.08096358489990234,0.03515625,
NVIDIA GeForce RTX 3060 Laptop GPU,20606811-3bb2-e6b5-ec74-b477d9c1d1d8,forced_fused_fp16,81920,1,1,64,torch.float16,2,1,success,0.10142310333251953,0.0390625,
NVIDIA GeForce RTX 3060 Laptop GPU,20606811-3bb2-e6b5-ec74-b477d9c1d1d8,forced_fused_fp16,90112,1,1,64,torch.float16,2,1,success,0.12499148559570313,0.046875,
NVIDIA GeForce RTX 3060 Laptop GPU,20606811-3bb2-e6b5-ec74-b477d9c1d1d8,forced_fused_fp16,98304,1,1,64,torch.float16,2,1,success,0.1506498565673828,0.046875,
NVIDIA GeForce RTX 3060 Laptop GPU,20606811-3bb2-e6b5-ec74-b477d9c1d1d8,forced_fused_fp16,114688,1,1,64,torch.float16,2,1,success,0.20938844299316406,0.0546875,
NVIDIA GeForce RTX 3060 Laptop GPU,20606811-3bb2-e6b5-ec74-b477d9c1d1d8,forced_fused_fp16,131072,1,1,64,torch.float16,2,1,success,0.2752962646484375,0.0625,
NVIDIA GeForce RTX 3060 Laptop GPU,20606811-3bb2-e6b5-ec74-b477d9c1d1d8,forced_fused_fp16,147456,1,1,64,torch.float16,2,1,success,0.3527014465332031,0.0703125,
NVIDIA GeForce RTX 3060 Laptop GPU,20606811-3bb2-e6b5-ec74-b477d9c1d1d8,forced_fused_fp16,163840,1,1,64,torch.float16,2,1,success,0.43266558837890623,0.078125,
