gpu_name,gpu_uuid,method,sequence_length,batch_size,head_dim,dtype,warmup_repetitions,timed_repetitions,status,average_latency_seconds,peak_memory_gb,error
NVIDIA GeForce RTX 3060 Laptop GPU,20606811-3bb2-e6b5-ec74-b477d9c1d1d8,naive_fp16,512,1,64,torch.float16,2,20,success,0.00018042880296707152,0.0091552734375,
NVIDIA GeForce RTX 3060 Laptop GPU,20606811-3bb2-e6b5-ec74-b477d9c1d1d8,fused_sdpa_fp16,512,1,64,torch.float16,2,20,success,0.0008283632278442383,0.010804176330566406,
NVIDIA GeForce RTX 3060 Laptop GPU,20606811-3bb2-e6b5-ec74-b477d9c1d1d8,naive_fp16,1024,1,64,torch.float16,2,10,success,0.0003123039960861206,0.0123291015625,
NVIDIA GeForce RTX 3060 Laptop GPU,20606811-3bb2-e6b5-ec74-b477d9c1d1d8,fused_sdpa_fp16,1024,1,64,torch.float16,2,10,success,0.0007624703884124756,0.01806783676147461,
NVIDIA GeForce RTX 3060 Laptop GPU,20606811-3bb2-e6b5-ec74-b477d9c1d1d8,naive_fp16,2048,1,64,torch.float16,2,5,success,0.0003858239889144897,0.0245361328125,
NVIDIA GeForce RTX 3060 Laptop GPU,20606811-3bb2-e6b5-ec74-b477d9c1d1d8,fused_sdpa_fp16,2048,1,64,torch.float16,2,5,success,0.0007858176231384278,0.045778751373291016,
NVIDIA GeForce RTX 3060 Laptop GPU,20606811-3bb2-e6b5-ec74-b477d9c1d1d8,naive_fp16,4096,1,64,torch.float16,2,3,success,0.0009987413088480633,0.0723876953125,
NVIDIA GeForce RTX 3060 Laptop GPU,20606811-3bb2-e6b5-ec74-b477d9c1d1d8,fused_sdpa_fp16,4096,1,64,torch.float16,2,3,success,0.0025767253239949543,0.15393495559692383,
NVIDIA GeForce RTX 3060 Laptop GPU,20606811-3bb2-e6b5-ec74-b477d9c1d1d8,naive_fp16,8192,1,64,torch.float16,2,1,success,0.0032727038860321045,0.2618408203125,
NVIDIA GeForce RTX 3060 Laptop GPU,20606811-3bb2-e6b5-ec74-b477d9c1d1d8,fused_sdpa_fp16,8192,1,64,torch.float16,2,1,success,0.009467840194702148,0.5811848640441895,
NVIDIA GeForce RTX 3060 Laptop GPU,20606811-3bb2-e6b5-ec74-b477d9c1d1d8,naive_fp16,16384,1,64,torch.float16,2,1,success,0.012699647903442383,1.0157470703125,
NVIDIA GeForce RTX 3060 Laptop GPU,20606811-3bb2-e6b5-ec74-b477d9c1d1d8,fused_sdpa_fp16,16384,1,64,torch.float16,2,1,success,0.037144577026367184,2.2794346809387207,
