gpu_name,gpu_uuid,elapsed_seconds,nvidia_timestamp,gpu_clock_mhz,memory_clock_mhz,temperature_c,power_w,gpu_utilization_percent,memory_used_mb,throughput_tflops
NVIDIA GeForce RTX 3060 Laptop GPU,20606811-3bb2-e6b5-ec74-b477d9c1d1d8,5.0,2026/09/22 09:25:30.164,1612,7001,49,79.78,98,289,22.5125
NVIDIA GeForce RTX 3060 Laptop GPU,20606811-3bb2-e6b5-ec74-b477d9c1d1d8,10.12,2026/09/22 09:25:35.245,1620,7001,52,80.00,98,289,22.7599
NVIDIA GeForce RTX 3060 Laptop GPU,20606811-3bb2-e6b5-ec74-b477d9c1d1d8,15.19,2026/09/22 09:25:40.293,1605,7001,54,80.00,98,289,22.7599
NVIDIA GeForce RTX 3060 Laptop GPU,20606811-3bb2-e6b5-ec74-b477d9c1d1d8,20.23,2026/09/22 09:25:45.345,1762,7001,55,79.76,97,289,22.6499
NVIDIA GeForce RTX 3060 Laptop GPU,20606811-3bb2-e6b5-ec74-b477d9c1d1d8,25.3,2026/09/22 09:25:50.412,1620,7001,56,79.78,98,289,22.6774
NVIDIA GeForce RTX 3060 Laptop GPU,20606811-3bb2-e6b5-ec74-b477d9c1d1d8,30.36,2026/09/22 09:25:55.495,1597,7001,57,79.69,97,289,22.54
NVIDIA GeForce RTX 3060 Laptop GPU,20606811-3bb2-e6b5-ec74-b477d9c1d1d8,35.47,2026/09/22 09:26:00.590,1627,7001,59,79.94,94,289,22.1393
NVIDIA GeForce RTX 3060 Laptop GPU,20606811-3bb2-e6b5-ec74-b477d9c1d1d8,40.53,2026/09/22 09:26:05.655,1597,7001,60,79.89,97,289,22.1826
NVIDIA GeForce RTX 3060 Laptop GPU,20606811-3bb2-e6b5-ec74-b477d9c1d1d8,45.61,2026/09/22 09:26:10.745,1597,7001,61,79.89,96,289,22.2926
NVIDIA GeForce RTX 3060 Laptop GPU,20606811-3bb2-e6b5-ec74-b477d9c1d1d8,50.7,2026/09/22 09:26:15.830,1612,7001,62,80.01,97,289,22.3201
NVIDIA GeForce RTX 3060 Laptop GPU,20606811-3bb2-e6b5-ec74-b477d9c1d1d8,55.78,2026/09/22 09:26:20.914,1605,7001,62,79.93,97,289,22.4025
NVIDIA GeForce RTX 3060 Laptop GPU,20606811-3bb2-e6b5-ec74-b477d9c1d1d8,60.84,2026/09/22 09:26:25.980,1597,7001,63,79.78,97,289,22.2651
NVIDIA GeForce RTX 3060 Laptop GPU,20606811-3bb2-e6b5-ec74-b477d9c1d1d8,65.94,2026/09/22 09:26:31.064,1575,7001,64,79.64,97,263,22.1002
NVIDIA GeForce RTX 3060 Laptop GPU,20606811-3bb2-e6b5-ec74-b477d9c1d1d8,71.0,2026/09/22 09:26:36.131,1582,7001,64,79.70,97,263,22.1552
NVIDIA GeForce RTX 3060 Laptop GPU,20606811-3bb2-e6b5-ec74-b477d9c1d1d8,76.08,2026/09/22 09:26:41.200,1582,7001,65,79.90,96,263,22.1002
NVIDIA GeForce RTX 3060 Laptop GPU,20606811-3bb2-e6b5-ec74-b477d9c1d1d8,81.14,2026/09/22 09:26:46.284,1582,7001,66,79.88,97,263,22.1002
NVIDIA GeForce RTX 3060 Laptop GPU,20606811-3bb2-e6b5-ec74-b477d9c1d1d8,86.22,2026/09/22 09:26:51.344,1597,7001,66,79.95,97,263,22.0177
NVIDIA GeForce RTX 3060 Laptop GPU,20606811-3bb2-e6b5-ec74-b477d9c1d1d8,91.3,2026/09/22 09:26:56.409,1582,7001,66,79.83,98,263,22.1002
NVIDIA GeForce RTX 3060 Laptop GPU,20606811-3bb2-e6b5-ec74-b477d9c1d1d8,96.36,2026/09/22 09:27:01.480,1582,7001,67,79.65,98,263,22.1826
NVIDIA GeForce RTX 3060 Laptop GPU,20606811-3bb2-e6b5-ec74-b477d9c1d1d8,101.42,2026/09/22 09:27:06.537,1552,7001,68,79.58,98,263,22.1002
NVIDIA GeForce RTX 3060 Laptop GPU,20606811-3bb2-e6b5-ec74-b477d9c1d1d8,106.48,2026/09/22 09:27:11.596,1552,7001,69,79.70,98,263,22.1002
NVIDIA GeForce RTX 3060 Laptop GPU,20606811-3bb2-e6b5-ec74-b477d9c1d1d8,111.55,2026/09/22 09:27:16.665,1552,7001,69,79.61,98,263,22.1002
NVIDIA GeForce RTX 3060 Laptop GPU,20606811-3bb2-e6b5-ec74-b477d9c1d1d8,116.61,2026/09/22 09:27:21.729,1567,7001,69,79.85,98,263,22.1002
NVIDIA GeForce RTX 3060 Laptop GPU,20606811-3bb2-e6b5-ec74-b477d9c1d1d8,121.67,2026/09/22 09:27:26.778,1567,7001,69,79.85,98,263,22.1002
NVIDIA GeForce RTX 3060 Laptop GPU,20606811-3bb2-e6b5-ec74-b477d9c1d1d8,126.72,2026/09/22 09:27:31.827,1567,7001,69,80.00,99,263,22.0727
